species_code,species_codename,unit_code
BLJA,Blue Jay (BLJA),GUIS-FL
CARW,Carolina Wren (CARW),GUIS-FL
EATO,Rufous-sided Towhee (EATO),GUIS-FL
NOCA,Northern Cardinal (NOCA),GUIS-FL
BLJA,Blue Jay (BLJA),GUIS-MS
CARW,Carolina Wren (CARW),GUIS-MS
EATO,Rufous-sided Towhee (EATO),GUIS-MS
NOCA,Northern Cardinal (NOCA),GUIS-MS
CARW,Carolina Wren (CARW),BITH
HOWA,Hooded Warbler (HOWA),BITH
NOCA,Northern Cardinal (NOCA),BITH
RBWO,Red-bellied Woodpecker (RBWO),BITH
REVI,Red-eyed Vireo (REVI),BITH
TUTI,Tufted Titmouse (TUTI),BITH
WEVI,White-eyed Vireo (WEVI),BITH
YBCU,Yellow-billed Cuckoo (YBCU),BITH
AMCR,American Crow (AMCR),JELA
CARW,Carolina Wren (CARW),JELA
NOCA,Northern Cardinal (NOCA),JELA
RBWO,Red-bellied Woodpecker (RBWO),JELA
TUTI,Tufted Titmouse (TUTI),JELA
WEVI,White-eyed Vireo (WEVI),JELA
BOSP,Botteri's Sparrow (BOSP),PAAL
CASP,Cassin's Sparrow (CASP),PAAL
EAME,Eastern Meadowlark (EAME),PAAL
GTGR,Great-tailed Grackle (GTGR),PAAL
MODO,Mourning Dove (MODO),PAAL
NOBO,Northern Bobwhite (NOBO),PAAL
NOCA,Northern Cardinal (NOCA),PAAL
NOMO,Northern Mockingbird (NOMO),PAAL
BCTI,Black-crested Titmouse (BCTI),SAAN
CARW,Carolina Wren (CARW),SAAN
CLSW,Cliff Swallow (CLSW),SAAN
GTGR,Great-tailed Grackle (GTGR),SAAN
NOCA,Northern Cardinal (NOCA),SAAN
NOMO,Northern Mockingbird (NOMO),SAAN
PABU,Painted Bunting (PABU),SAAN
WEVI,White-eyed Vireo (WEVI),SAAN
BLJA,Blue Jay (BLJA),VICK
INBU,Indigo Bunting (INBU),VICK
NOCA,Northern Cardinal (NOCA),VICK
RBWO,Red-bellied Woodpecker (RBWO),VICK
WOTH,Wood Thrush (WOTH),VICK
YBCU,Yellow-billed Cuckoo (YBCU),VICK
